mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
170083,Kirron Anupam Kher,Elected,23-05-2019,In Office,Second Term,Chandigarh,Chandigarh,Bharatiya Janata Party,Female,Post Graduate,M.A(English Literature),71,9,0,106,0.453441296, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,9,N/A,106,0.453441296,Lok Sabha
170556,Kalaben Mohanbhai Delkar,Elected,17-11-2021,In Office,First Term,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Shiv Sena,Female,Information Not Available,Information Not Available,51,11,0,119,0.612068966, Data corresponds to the period from 01-06-2019 to 11-08-2023.,17.40350445,1.20941922,99.83402724,0.788702577,11,N/A,119,0.742308993,Lok Sabha
170096,Lalubhai Babubhai Patel,Elected,23-05-2019,In Office,Third Term,Daman and Diu,Daman and Diu,Bharatiya Janata Party,Male,Matric,"Shree Somnath Kolvani Mandal High School, Dabhol, Daman",67,7,0,3,0.846153846, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,7,N/A,3,0.846153846,Lok Sabha
170294,Manoj Tiwari,Elected,23-05-2019,In Office,Second Term,North East Delhi,Delhi,Bharatiya Janata Party,Male,Post Graduate,"I.Sc., B.A. (History), B.P.Ed., M.P.Ed.",52,35,0,362,0.834008097, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,33,2.5,170.8333333,0.796827233,Lok Sabha
170293,Meenakashi Lekhi,Elected,23-05-2019,In Office,Second Term,New Delhi,Delhi,Bharatiya Janata Party,Female,Graduate,"B.Sc. (Hons), LL.B. Educated at Hindu College",56,51,0,133,0.894736842,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 11-08-2023.",24.43976303,0.294307337,77.08705717,0.788702577,21,0.833333333,89.33333333,0.796827233,Lok Sabha
170295,Hans Raj Hans,Elected,23-05-2019,In Office,First Term,North West Delhi,Delhi,Bharatiya Janata Party,Male,Information Not Available,Information Not Available,61,3,0,15,0.384615385, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,33,2.5,170.8333333,0.796827233,Lok Sabha
170207,P.P. Mohammed Faizal,Elected,23-05-2019,In Office,Second Term,Lakshadweep,Lakshadweep,Nationalist Congress Party,Male,Post Graduate,M.B.A.,48,35,0,223,0.806167401, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,35,N/A,223,0.806167401,Lok Sabha
170319,Ve. Vaithilingam,Elected,23-05-2019,In Office,First Term,Puducherry,Puducherry,Indian National Congress,Male,Information Not Available,Information Not Available,72,25,0,55,0.712550607, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,25,N/A,55,0.712550607,Lok Sabha
170553,Vijayakumar alias Vijay Vasanth,Elected,19-07-2021,In Office,First Term,Kanniyakumari,Tamil Nadu,Indian National Congress,Male,Information Not Available,Information Not Available,0,19,0,180,0.887218045, Data corresponds to the period from 01-06-2019 to 11-08-2023.,18.21223625,1.20941922,114.3205137,0.788702577,24.17948718,1.333333333,139.2307692,0.74654051,Lok Sabha
170557,"Dinesh Lal ""Nirahua"" Yadav",Elected,26-06-2022,In Office,First Term,Azamgarh,Uttar Pradesh,Bharatiya Janata Party,Male,Information Not Available,Information Not Available,0,3,0,22,0.887323944, Data corresponds to the period from 01-06-2019 to 11-08-2023.,7.75885681,0.589336405,61.83259391,0.788702577,11.92130258,0.497060154,48.78312981,0.82861928,Lok Sabha
170038,Pradan Baruah,Elected,23-05-2019,In Office,Second Term,Lakhimpur,Assam,Bharatiya Janata Party,Male,Diploma Course,"Diploma in Mech. Engg. In 1985 from Dibrugarh Politechnic, Assam, Passed H.S.L.C. from SEBA in 1980 from Silapathar R.H.S. School",58,0,0,15,0.834008097, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,26.92307692,1.461538462,157.7692308,0.773902211,Lok Sabha
170186,Anant Kumar Hegde,Elected,23-05-2019,In Office,Sixth Term,Uttara Kannada,Karnataka,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at M.M. Arts and Science College, Sirsi (Karnataka)",55,0,0,18,0.672064777, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,14.46833333,N/A,193.72,0.705606609,Lok Sabha
170168,V. Srinivas Prasad,Elected,23-05-2019,In Office,First Term,Chamrajanagar,Karnataka,Bharatiya Janata Party,Male,Post Graduate,"B.Sc., M.A. (Political Science) Educated at Sharadavilas College and Mysore University, Mysore (Karnataka)",76,0,0,2,0.303643725, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,14.46833333,N/A,193.72,0.705606609,Lok Sabha
170326,Ajay Singh Dharmendra Deol,Elected,23-05-2019,In Office,First Term,Gurdaspur,Punjab,Bharatiya Janata Party,Male,Information Not Available,Information Not Available,65,0,0,1,0.182186235, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,35.12878788,1.303030303,99.68939394,0.703872954,Lok Sabha
170493,Maneka Gandhi,Elected,23-05-2019,In Office,Eighth Term,Sultanpur,Uttar Pradesh,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh",66,0,0,117,0.785425101, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,54.95293927,1.267480488,137.1278932,0.82861928,Lok Sabha
170498,Ramesh Pokhriyal Nishank,Elected,23-05-2019,In Office,Second Term,Hardwar,Uttarakhand,Bharatiya Janata Party,Male,Doctorate,M.A. Ph.D,64,0,0,15,0.816326531,"This MP was a minister from May 30, 2019 to July 07, 2021. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 11-08-2023.",18.21223625,1.20941922,114.3205137,0.788702577,4.25,0.5,29.75,0.890930623,Lok Sabha
